Salary,UndergradMajor,CompanySize,DevType,YearsCoding,LanguageWorkedWith,DatabaseWorkedWith,PlatformWorkedWith,FrameworkWorkedWith,Age,Country,Student,Currency,OpenSource
45000,"Computer science, computer engineering, or software engineering",20 to 99 employees,Back-end developer;Database administrator;Designer;Desktop or enterprise applications developer;Educator or academic researcher;Front-end developer;Full-stack developer,3-5 years,C#;PHP;SQL;HTML;CSS,MongoDB;SQL Server;MySQL;Oracle,Salesforce;WordPress,.NET Core,18 - 24 years old,Pakistan,No,NA,No
NA,"Information systems, information technology, or system administration",100 to 499 employees,Mobile developer,9-11 years,C#;Java,MongoDB;SQL Server;MySQL;PostgreSQL;SQLite,Android;Raspberry Pi;Firebase,Angular;.NET Core;Node.js,NA,Viet Nam,NA,NA,No
480000,"Another engineering discipline (ex. civil, electrical, mechanical)",10 to 19 employees,Desktop or enterprise applications developer,3-5 years,C++;Python,NA,NA,NA,25 - 34 years old,India,No,Indian rupees (₹),No
82000,"Computer science, computer engineering, or software engineering",500 to 999 employees,Back-end developer;Front-end developer,3-5 years,Java;JavaScript;HTML;CSS;Bash/Shell,SQL Server;Neo4j,Amazon Echo;Android;AWS;Google Home;Raspberry Pi;Serverless,Angular;Node.js;React;Spring,25 - 34 years old,United States,No,U.S. dollars ($),Yes
3500,"Computer science, computer engineering, or software engineering","10,000 or more employees",Mobile developer,30 or more years,C;C++;Java;Objective-C;Swift;Kotlin,SQLite,Android;iOS;Linux;Mac OS,NA,45 - 54 years old,Serbia,No,Euros (€),No
NA,"Computer science, computer engineering, or software engineering",20 to 99 employees,Back-end developer;Front-end developer;Full-stack developer,3-5 years,NA,NA,NA,NA,NA,Belgium,No,NA,No
NA,"A business discipline (ex. accounting, finance, marketing)",100 to 499 employees,Front-end developer;Full-stack developer,12-14 years,JavaScript;PHP;Python;Ruby;TypeScript;Bash/Shell,MongoDB;PostgreSQL;SQLite;Amazon Redshift;Neo4j,Raspberry Pi,Node.js;React,NA,France,No,NA,Yes
NA,"Computer science, computer engineering, or software engineering",10 to 19 employees,Back-end developer;Database administrator;Front-end developer;Full-stack developer,9-11 years,NA,NA,NA,NA,NA,Pakistan,"Yes, full-time",NA,No
108200,"Computer science, computer engineering, or software engineering","1,000 to 4,999 employees",Back-end developer;Database administrator;Engineering manager;Front-end developer;Full-stack developer;Product manager,15-17 years,Java;JavaScript;PHP;SQL;HTML;CSS;Bash/Shell,MongoDB;MySQL,Linux,NA,25 - 34 years old,United States,No,U.S. dollars ($),No
NA,"Computer science, computer engineering, or software engineering",500 to 999 employees,Back-end developer;Data or business analyst;Educator or academic researcher;Full-stack developer,18-20 years,C#;JavaScript;Python;SQL;CSS,SQL Server,NA,NA,35 - 44 years old,United Kingdom,No,British pounds sterling (£),No
38000,NA,10 to 19 employees,Back-end developer;Database administrator;Designer;Front-end developer;Full-stack developer,3-5 years,C#;JavaScript;HTML;CSS,SQL Server;SQLite,Windows Desktop or Server,Angular;.NET Core,25 - 34 years old,United Kingdom,No,British pounds sterling (£),No
52000,"Computer science, computer engineering, or software engineering","5,000 to 9,999 employees",Front-end developer;Full-stack developer,3-5 years,C;CoffeeScript;Java;JavaScript;SQL;HTML;CSS,MongoDB;SQL Server;MySQL;Oracle,Linux;Mac OS;Windows Phone,Node.js;Spring,25 - 34 years old,India,"Yes, full-time",Indian rupees (₹),Yes
NA,"Computer science, computer engineering, or software engineering","1,000 to 4,999 employees",Mobile developer,9-11 years,C;Go;JavaScript;Objective-C;Perl;Python;Ruby;SQL;Swift;CSS;Bash/Shell,Redis;PostgreSQL;SQLite,Apple Watch or Apple TV;Arduino;iOS;Mac OS,TensorFlow,25 - 34 years old,United States,No,U.S. dollars ($),Yes
3600,"Information systems, information technology, or system administration",500 to 999 employees,Front-end developer;Full-stack developer,3-5 years,JavaScript;TypeScript;HTML;CSS,"MongoDB;Oracle;Microsoft Azure (Tables, CosmosDB, SQL, etc)",NA,Angular;Node.js,25 - 34 years old,Finland,No,Euros (€),No
3200000,"Information systems, information technology, or system administration",20 to 99 employees,Back-end developer;Data scientist or machine learning specialist;Database administrator;Engineering manager;Front-end developer;Full-stack developer;System administrator,6-8 years,JavaScript;PHP;Python;SQL;HTML;CSS;Bash/Shell,MySQL;MariaDB;Elasticsearch,Android;AWS;Linux,Cordova;TensorFlow,18 - 24 years old,Colombia,"Yes, part-time",NA,Yes
