Salary,UndergradMajor,CompanySize,DevType,YearsCoding,LanguageWorkedWith,DatabaseWorkedWith,PlatformWorkedWith,FrameworkWorkedWith,Age,Country,Student,Currency,OpenSource
NA,"Information systems, information technology, or system administration",20 to 99 employees,Back-end developer;Database administrator;Embedded applications or devices developer;Front-end developer;Mobile developer,0-2 years,NA,NA,NA,NA,NA,Peru,No,NA,No
50000,"Computer science, computer engineering, or software engineering","1,000 to 4,999 employees",Back-end developer;Front-end developer;Full-stack developer,3-5 years,C#;JavaScript;SQL;HTML;CSS,SQL Server,Android;iOS;Windows Desktop or Server,.NET Core,25 - 34 years old,United States,No,U.S. dollars ($),No
3700,"Computer science, computer engineering, or software engineering",100 to 499 employees,Front-end developer,12-14 years,C#;JavaScript;Python;Rust;SQL;TypeScript;HTML;CSS;Bash/Shell,MongoDB;PostgreSQL;SQLite;Elasticsearch,NA,Django;Node.js;React;TensorFlow,18 - 24 years old,Ukraine,"Yes, full-time",U.S. dollars ($),No
300000,"Computer science, computer engineering, or software engineering",20 to 99 employees,Data or business analyst;Database administrator;System administrator,9-11 years,Assembly;C;Java;JavaScript;Lua;Perl;PHP;Python;SQL;HTML;CSS;Bash/Shell,MariaDB,Android;Drupal;Linux;Raspberry Pi;WordPress,Cordova,25 - 34 years old,Hungary,No,NA,Yes
NA,"Computer science, computer engineering, or software engineering",Fewer than 10 employees,Back-end developer;Data or business analyst;Database administrator;Embedded applications or devices developer;System administrator,30 or more years,C;JavaScript;PHP;SQL;Delphi/Object Pascal;HTML;CSS;Bash/Shell,MySQL;PostgreSQL;MariaDB,Arduino;Drupal;Linux;Raspberry Pi;WordPress,NA,45 - 54 years old,United Kingdom,No,British pounds sterling (£),Yes
NA,"Computer science, computer engineering, or software engineering",Fewer than 10 employees,Front-end developer;Mobile developer,0-2 years,NA,NA,NA,NA,NA,India,"Yes, full-time",NA,Yes
NA,"Another engineering discipline (ex. civil, electrical, mechanical)",20 to 99 employees,Back-end developer,0-2 years,Assembly;C;C#;Java;JavaScript;Matlab;Objective-C;PHP;SQL;TypeScript;HTML,SQL Server;MySQL;Google Cloud Storage,Android;Arduino;iOS;WordPress;Firebase,Angular;.NET Core;Node.js;Cordova,18 - 24 years old,India,No,Indian rupees (₹),Yes
NA,"Computer science, computer engineering, or software engineering",10 to 19 employees,DevOps specialist;Front-end developer;Full-stack developer;Mobile developer,0-2 years,JavaScript;TypeScript;HTML;CSS,MongoDB;Redis,Android;Linux;Mac OS,Angular;Django;Node.js;React,18 - 24 years old,China,"Yes, full-time",Chinese yuan renminbi (¥),Yes
NA,NA,Fewer than 10 employees,Back-end developer;Data or business analyst;Data scientist or machine learning specialist;Full-stack developer;Student,3-5 years,NA,NA,NA,NA,NA,United States,"Yes, full-time",NA,Yes
NA,"Computer science, computer engineering, or software engineering",20 to 99 employees,Mobile developer,3-5 years,C;C++;Java;Kotlin;HTML;CSS,SQL Server;MySQL,Android;Firebase,Angular;Node.js;Cordova,18 - 24 years old,India,No,Indian rupees (₹),Yes
13000,"Another engineering discipline (ex. civil, electrical, mechanical)",500 to 999 employees,Back-end developer;Database administrator;Designer;DevOps specialist;Front-end developer;Full-stack developer,0-2 years,JavaScript;PHP;HTML;CSS,MongoDB;MySQL;MariaDB,NA,NA,25 - 34 years old,Republic of Moldova,No,NA,No
NA,"Another engineering discipline (ex. civil, electrical, mechanical)",10 to 19 employees,Desktop or enterprise applications developer;Product manager,24-26 years,Java,NA,NA,NA,35 - 44 years old,Brazil,No,Brazilian reais (R$),Yes
85000,"Computer science, computer engineering, or software engineering",20 to 99 employees,Back-end developer;Desktop or enterprise applications developer;DevOps specialist;Mobile developer;QA or test developer,6-8 years,C#;Java;Python;SQL;Swift;VB.NET;Bash/Shell,"Redis;SQL Server;MySQL;SQLite;Amazon DynamoDB;Amazon RDS/Aurora;Google BigQuery;Microsoft Azure (Tables, CosmosDB, SQL, etc);Google Cloud Storage;Elasticsearch",Amazon Echo;Android;AWS;Azure;Google Cloud Platform/App Engine;iOS;Linux;Mac OS;Serverless;Windows Desktop or Server;Firebase,NA,25 - 34 years old,Bangladesh,No,NA,No
282000,"Computer science, computer engineering, or software engineering",Fewer than 10 employees,Back-end developer;Front-end developer;Full-stack developer,6-8 years,JavaScript;Perl;PHP;HTML;CSS;Bash/Shell,MongoDB;MySQL,Linux,Angular;Node.js,18 - 24 years old,India,No,Indian rupees (₹),No
125000,"Fine arts or performing arts (ex. graphic design, music, studio art)",100 to 499 employees,Back-end developer;Designer;Engineering manager;Front-end developer;Full-stack developer,21-23 years,JavaScript;Objective-C;Ruby;HTML;CSS,PostgreSQL,Amazon Echo;Android;Arduino;AWS;Heroku;iOS;Mac OS;Serverless,Node.js;React,35 - 44 years old,United States,No,U.S. dollars ($),Yes
9000000,"Computer science, computer engineering, or software engineering",Fewer than 10 employees,Back-end developer;Front-end developer;Mobile developer,6-8 years,Java;JavaScript;PHP;SQL;HTML;CSS,MySQL;PostgreSQL;SQLite,Android;WordPress,NA,25 - 34 years old,Paraguay,No,NA,No
NA,"Computer science, computer engineering, or software engineering","1,000 to 4,999 employees",Front-end developer,3-5 years,C;Java;JavaScript;PHP;TypeScript;HTML;CSS,NA,WordPress,Angular,25 - 34 years old,India,"Yes, full-time",Indian rupees (₹),Yes
75000,"Computer science, computer engineering, or software engineering","1,000 to 4,999 employees",Data or business analyst;Database administrator,9-11 years,C#;SQL,"SQL Server;Microsoft Azure (Tables, CosmosDB, SQL, etc)",Azure;WordPress,NA,25 - 34 years old,Mexico,No,Mexican pesos (MXN$),No
NA,"Computer science, computer engineering, or software engineering",Fewer than 10 employees,Back-end developer;Data or business analyst;Database administrator;Student,3-5 years,Java;PHP;Python;SQL,SQL Server;MySQL;PostgreSQL;SQLite,Linux;Firebase,Spring,NA,Republic of Moldova,"Yes, full-time",NA,Yes
30000,"Computer science, computer engineering, or software engineering",100 to 499 employees,Mobile developer,6-8 years,Java;Python;SQL;HTML;CSS,MySQL;PostgreSQL,Mac OS;Windows Desktop or Server,Django;Spring,NA,India,"Yes, full-time",Indian rupees (₹),Yes
2200,"Computer science, computer engineering, or software engineering",20 to 99 employees,Back-end developer;Front-end developer;Full-stack developer,30 or more years,C++;C#;TypeScript;HTML;CSS,MongoDB;SQL Server,Windows Desktop or Server,NA,45 - 54 years old,Australia,No,Australian dollars (A$),No
130000,"A business discipline (ex. accounting, finance, marketing)","10,000 or more employees",Back-end developer;Database administrator;Front-end developer;System administrator,30 or more years,C#;JavaScript;SQL;VBA;HTML;CSS,"SQL Server;Microsoft Azure (Tables, CosmosDB, SQL, etc)",Windows Desktop or Server,.NET Core,55 - 64 years old,United States,No,U.S. dollars ($),No
13330,"Another engineering discipline (ex. civil, electrical, mechanical)",20 to 99 employees,Back-end developer;DevOps specialist;Full-stack developer,3-5 years,Java;JavaScript;PHP;HTML;CSS,MongoDB;Redis;MySQL;PostgreSQL;Memcached,Heroku;Linux;Mac OS,Node.js;React,25 - 34 years old,Nigeria,No,U.S. dollars ($),No
8500,"Information systems, information technology, or system administration","1,000 to 4,999 employees",DevOps specialist;System administrator,9-11 years,Go;Java;JavaScript;PHP;Python;Ruby;Scala;HTML;CSS;Bash/Shell,Cassandra;MongoDB;Redis;MySQL;PostgreSQL;SQLite;MariaDB;Amazon DynamoDB;Apache Hive;Memcached;Amazon Redshift;Amazon RDS/Aurora;Elasticsearch,AWS;Linux;Serverless,Hadoop;Node.js;Spark,25 - 34 years old,Brazil,No,Brazilian reais (R$),Yes
NA,"Computer science, computer engineering, or software engineering","10,000 or more employees",Back-end developer;System administrator,18-20 years,NA,NA,NA,NA,NA,Switzerland,No,Swiss francs,No
2550,"Computer science, computer engineering, or software engineering","10,000 or more employees",DevOps specialist;Full-stack developer,9-11 years,C#;Java;JavaScript;SQL;Swift;HTML;CSS,MySQL;PostgreSQL,Heroku;iOS;WordPress,Angular;Node.js;Spring,25 - 34 years old,Netherlands,No,Euros (€),No
9000,NA,500 to 999 employees,Mobile developer,6-8 years,C;C++;Java;Objective-C,NA,Android;iOS,NA,25 - 34 years old,Poland,No,Polish złoty (zł),No
300000,"Computer science, computer engineering, or software engineering",10 to 19 employees,Full-stack developer,3-5 years,C#;Java;JavaScript;Matlab;SQL;VB.NET;Visual Basic 6;HTML;CSS,SQL Server;MySQL;Oracle,Linux;Windows Desktop or Server,NA,18 - 24 years old,Japan,No,Japanese yen (¥),Yes
NA,"Computer science, computer engineering, or software engineering",Fewer than 10 employees,Back-end developer;Full-stack developer;Student,0-2 years,JavaScript;PHP;HTML;CSS,MySQL;SQLite,NA,NA,18 - 24 years old,Ukraine,"Yes, full-time",NA,No
80000,"Computer science, computer engineering, or software engineering",Fewer than 10 employees,"Back-end developer;C-suite executive (CEO, CTO, etc.);Database administrator;Designer;DevOps specialist;Engineering manager;Front-end developer;Full-stack developer;Marketing or sales professional;Product manager;QA or test developer;System administrator",15-17 years,Go;Haskell;JavaScript;Ruby;SQL;Swift;HTML;CSS;Bash/Shell,Redis;MySQL;PostgreSQL;SQLite;MariaDB;Amazon DynamoDB;Amazon RDS/Aurora;Elasticsearch,AWS;Google Cloud Platform/App Engine;Linux;Serverless,Node.js;React,25 - 34 years old,France,No,Euros (€),Yes
800000,"Information systems, information technology, or system administration","5,000 to 9,999 employees",Student,3-5 years,NA,NA,NA,NA,NA,India,No,Indian rupees (₹),No
5000,Mathematics or statistics,"5,000 to 9,999 employees",Embedded applications or devices developer,15-17 years,C;C++;C#;F#;Groovy;Java;JavaScript;Lua;Objective-C;Python;Ocaml;Delphi/Object Pascal;HTML;CSS;Bash/Shell,MongoDB;Redis;SQL Server;MySQL;SQLite;MariaDB;Elasticsearch,Android;Arduino;AWS;Linux;Mac OS;Raspberry Pi;Windows Desktop or Server,.NET Core;Django;Node.js;TensorFlow;Torch/PyTorch,35 - 44 years old,Ukraine,No,U.S. dollars ($),Yes
NA,"Computer science, computer engineering, or software engineering",Fewer than 10 employees,Back-end developer;Full-stack developer,15-17 years,C#;Java;JavaScript;PHP;SQL;TypeScript;VB.NET;HTML;CSS;Bash/Shell,SQL Server;PostgreSQL;Oracle,Drupal;Linux;Windows Desktop or Server,.NET Core;Node.js;React;Cordova;Xamarin,NA,Canada,No,NA,No
NA,"Computer science, computer engineering, or software engineering","1,000 to 4,999 employees",Full-stack developer,3-5 years,NA,NA,NA,NA,NA,India,No,Indian rupees (₹),No
450,NA,10 to 19 employees,Back-end developer,0-2 years,JavaScript;PHP;Python;HTML;CSS;Bash/Shell,MySQL,NA,NA,25 - 34 years old,Germany,"Yes, part-time",Euros (€),No
6700,Web development or web design,20 to 99 employees,Front-end developer;Full-stack developer,9-11 years,JavaScript;PHP;Ruby;HTML;CSS,MySQL,NA,Node.js,25 - 34 years old,Brazil,No,Brazilian reais (R$),No
90000,"Computer science, computer engineering, or software engineering","10,000 or more employees",Data or business analyst;Product manager,24-26 years,C#;Java;PHP;SQL;VB.NET;HTML;CSS,MySQL,Raspberry Pi;Windows Desktop or Server,NA,45 - 54 years old,United States,No,U.S. dollars ($),No
NA,NA,"5,000 to 9,999 employees",Product manager,3-5 years,JavaScript;SQL;VBA,MySQL;PostgreSQL;Oracle;Google Cloud Storage,Google Cloud Platform/App Engine;SharePoint,NA,18 - 24 years old,United States,No,NA,No
NA,"Computer science, computer engineering, or software engineering","10,000 or more employees",Engineering manager,6-8 years,C#;Java;SQL;HTML;CSS;Bash/Shell,"Cassandra;SQL Server;MySQL;PostgreSQL;Microsoft Azure (Tables, CosmosDB, SQL, etc);Elasticsearch",Arduino;Azure;Raspberry Pi;SharePoint,NA,NA,France,No,NA,No
NA,"Computer science, computer engineering, or software engineering","10,000 or more employees",Full-stack developer,15-17 years,C#;Java;JavaScript;SQL;HTML;CSS;Bash/Shell,Cassandra;MongoDB;Redis;SQL Server;Elasticsearch,Amazon Echo;AWS;Azure;WordPress,Angular;.NET Core;Node.js;Spring,18 - 24 years old,India,No,U.S. dollars ($),Yes
50000,"Computer science, computer engineering, or software engineering",500 to 999 employees,Back-end developer;DevOps specialist;System administrator,9-11 years,Groovy;PHP;Python;Ruby;HTML;CSS;Bash/Shell,Redis;PostgreSQL;SQLite;Memcached;Elasticsearch,AWS;Linux,NA,25 - 34 years old,United Kingdom,No,British pounds sterling (£),Yes
NA,"A social science (ex. anthropology, psychology, political science)","5,000 to 9,999 employees",Data scientist or machine learning specialist;Educator or academic researcher;Student,0-2 years,C;C++;Java;Python;SQL;Swift;VBA;HTML;CSS,MySQL,Arduino;iOS;SharePoint,NA,25 - 34 years old,United States,"Yes, full-time",U.S. dollars ($),No
60000,"Computer science, computer engineering, or software engineering",10 to 19 employees,Back-end developer;Front-end developer;Full-stack developer,15-17 years,CoffeeScript;JavaScript;Ruby;SQL;HTML;CSS;Bash/Shell,Redis;MySQL;PostgreSQL;SQLite;Elasticsearch,Heroku;Linux;Mac OS;Raspberry Pi,Angular;Node.js;React,25 - 34 years old,Germany,No,Euros (€),Yes
82000,"A humanities discipline (ex. literature, history, philosophy)",20 to 99 employees,Back-end developer;Data or business analyst;Data scientist or machine learning specialist;Database administrator;Educator or academic researcher;System administrator,6-8 years,JavaScript;Python;R;SQL;HTML;CSS,SQL Server,AWS;Linux;Mac OS,Django;TensorFlow,35 - 44 years old,United States,No,U.S. dollars ($),Yes
90000,"Computer science, computer engineering, or software engineering",20 to 99 employees,NA,12-14 years,Java;JavaScript;PHP;TypeScript,NA,NA,NA,25 - 34 years old,France,No,Euros (€),Yes
NA,"Computer science, computer engineering, or software engineering","1,000 to 4,999 employees",Back-end developer,6-8 years,Java;Scala,Cassandra;Redis;SQL Server;Apache HBase;Apache Hive;Elasticsearch,AWS,Hadoop;Spark;Spring,NA,United States,No,NA,No
78000,"Computer science, computer engineering, or software engineering",500 to 999 employees,Back-end developer;Front-end developer;Full-stack developer,6-8 years,CoffeeScript;JavaScript;Python;Scala;TypeScript;HTML;CSS;Bash/Shell,MongoDB;Redis;SQL Server;MySQL;Amazon DynamoDB,AWS;Heroku;Linux;Mac OS,Angular;Node.js,18 - 24 years old,United States,No,U.S. dollars ($),Yes
110000,"A social science (ex. anthropology, psychology, political science)",20 to 99 employees,Back-end developer,3-5 years,Go;JavaScript;Ruby;SQL;HTML;CSS;Bash/Shell,Redis;PostgreSQL,NA,React,25 - 34 years old,United States,No,U.S. dollars ($),No
55000000,"Another engineering discipline (ex. civil, electrical, mechanical)",20 to 99 employees,Back-end developer,9-11 years,Java;SQL,MySQL;PostgreSQL,Linux;WordPress,Spring,35 - 44 years old,"Iran, Islamic Republic of...",No,NA,No
107000,"Computer science, computer engineering, or software engineering","10,000 or more employees",Back-end developer;Desktop or enterprise applications developer,3-5 years,Assembly;C;C++;C#;Go;Java;JavaScript;Lua;Matlab;Python;HTML;CSS;Bash/Shell,MongoDB;Redis;SQL Server;Elasticsearch,Azure;Heroku;Linux;Mac OS;Windows Desktop or Server;Firebase,NA,18 - 24 years old,United States,No,U.S. dollars ($),No
34000,"Another engineering discipline (ex. civil, electrical, mechanical)",10 to 19 employees,Back-end developer;Data or business analyst;Data scientist or machine learning specialist;Database administrator;Full-stack developer,12-14 years,C#;JavaScript;Matlab;PHP;Python;R;SQL;TypeScript,MongoDB;Redis;PostgreSQL;Amazon DynamoDB;Amazon RDS/Aurora;Elasticsearch,Amazon Echo;Android;Arduino;AWS;Linux;Raspberry Pi;Serverless,Node.js;React;TensorFlow;Torch/PyTorch,25 - 34 years old,United Kingdom,No,British pounds sterling (£),Yes
82000,"Computer science, computer engineering, or software engineering","10,000 or more employees",Full-stack developer,12-14 years,Java;SQL;HTML,Oracle,NA,NA,25 - 34 years old,Canada,No,Canadian dollars (C$),No
NA,Mathematics or statistics,100 to 499 employees,Mobile developer,3-5 years,Java;JavaScript;Python;Ruby;SQL;Swift,NA,iOS;Linux;Mac OS;Firebase,Node.js,NA,United States,"Yes, part-time",NA,No
NA,NA,Fewer than 10 employees,Back-end developer;Database administrator;Desktop or enterprise applications developer;Front-end developer;Full-stack developer;Mobile developer;System administrator,6-8 years,C#;Java;JavaScript;Rust;HTML;CSS;Bash/Shell,SQL Server;SQLite,Android;iOS;Linux;Windows Desktop or Server;WordPress,Xamarin,18 - 24 years old,Austria,No,Euros (€),Yes
NA,Mathematics or statistics,20 to 99 employees,Data or business analyst;Product manager;Student,3-5 years,Matlab;Python;R;SQL,"SQL Server;Microsoft Azure (Tables, CosmosDB, SQL, etc)",Azure,NA,18 - 24 years old,United States,"Yes, full-time",U.S. dollars ($),No
NA,"Computer science, computer engineering, or software engineering",20 to 99 employees,Designer;Front-end developer;Mobile developer,3-5 years,Java;PHP;SQL;Kotlin;HTML,SQLite,Android;Google Cloud Platform/App Engine;Firebase,NA,25 - 34 years old,India,"Yes, full-time",Indian rupees (₹),No
1600,"Computer science, computer engineering, or software engineering",20 to 99 employees,Desktop or enterprise applications developer,3-5 years,SQL;VB.NET,SQL Server,Windows Desktop or Server,NA,25 - 34 years old,Spain,"Yes, part-time",Euros (€),No
40000,"Computer science, computer engineering, or software engineering",100 to 499 employees,Back-end developer;Full-stack developer,9-11 years,C#;F#;Java;JavaScript;Python;SQL;HTML;CSS;Bash/Shell,MySQL;Memcached;Google BigQuery;Google Cloud Storage;Elasticsearch,Google Cloud Platform/App Engine;Linux;Mac OS,.NET Core;Spring,25 - 34 years old,Sweden,No,Swedish kroner (SEK),No
125000,"Computer science, computer engineering, or software engineering",10 to 19 employees,Back-end developer;Database administrator;DevOps specialist;Full-stack developer,30 or more years,PHP;SQL;Bash/Shell,MySQL;SQLite,Linux,Node.js,55 - 64 years old,United States,No,U.S. dollars ($),No
NA,"Computer science, computer engineering, or software engineering","10,000 or more employees",Embedded applications or devices developer;Game or graphics developer;Mobile developer,21-23 years,C;C++;Bash/Shell,NA,Linux,NA,NA,France,No,Euros (€),No
NA,NA,Fewer than 10 employees,Back-end developer;Designer;Front-end developer;Full-stack developer;Student,6-8 years,C;C#;Java;PHP;Delphi/Object Pascal,NA,NA,NA,NA,Sweden,"Yes, full-time",NA,Yes
65000,"A business discipline (ex. accounting, finance, marketing)",10 to 19 employees,Back-end developer;Database administrator;DevOps specialist;Front-end developer;Full-stack developer,6-8 years,JavaScript;Objective-C;PHP;Python;Scala;SQL;HTML;CSS;Bash/Shell,MongoDB;Redis;MySQL;MariaDB;Amazon DynamoDB;Memcached;Elasticsearch,AWS;Linux,Django,25 - 34 years old,Ireland,No,Euros (€),Yes
36000,Web development or web design,20 to 99 employees,Back-end developer;Data or business analyst;Designer;DevOps specialist;Front-end developer;Full-stack developer;System administrator,3-5 years,JavaScript;HTML;CSS,SQL Server;MySQL;PostgreSQL;SQLite;Oracle,AWS;Windows Desktop or Server;WordPress,NA,18 - 24 years old,India,"Yes, part-time",Indian rupees (₹),No
NA,NA,20 to 99 employees,Back-end developer;Front-end developer;Student,0-2 years,NA,NA,NA,NA,NA,Germany,No,NA,No
NA,"Computer science, computer engineering, or software engineering",10 to 19 employees,Back-end developer;Mobile developer,6-8 years,C;C#;Java;JavaScript;Objective-C;Perl;TypeScript;HTML;CSS,MongoDB;MySQL;MariaDB,Android;Arduino;AWS;iOS;Raspberry Pi;WordPress;Firebase,.NET Core;Node.js;React;Cordova;Xamarin,NA,Belgium,No,NA,Yes
NA,"Computer science, computer engineering, or software engineering",500 to 999 employees,Back-end developer;Desktop or enterprise applications developer,12-14 years,Java;JavaScript;SQL;HTML;CSS,NA,NA,Spring,NA,Poland,No,NA,No
70000,"Computer science, computer engineering, or software engineering",100 to 499 employees,Desktop or enterprise applications developer;Full-stack developer;Student,3-5 years,C;C++;C#;F#;Java;Python,MySQL;Oracle,Linux;Windows Desktop or Server,.NET Core;Node.js,25 - 34 years old,United States,"Yes, full-time",U.S. dollars ($),No
NA,NA,Fewer than 10 employees,Back-end developer;DevOps specialist;Full-stack developer;Mobile developer;System administrator,12-14 years,C++;C#;CoffeeScript;Java;JavaScript;Lua;Perl;PHP;Python;SQL;TypeScript;HTML;CSS;Bash/Shell,MongoDB;MySQL;PostgreSQL;MariaDB;Memcached,Android;Linux;Mac OS;Windows Desktop or Server;Firebase,Angular;Node.js,18 - 24 years old,Hungary,No,NA,No
1300000,"Computer science, computer engineering, or software engineering",100 to 499 employees,Full-stack developer,6-8 years,Assembly;C;JavaScript;Python;Ruby;SQL;TypeScript;HTML;CSS;Bash/Shell,MongoDB;Redis;MySQL;PostgreSQL,Android;Arduino;AWS;Heroku;Linux;Raspberry Pi;WordPress,Django;Node.js;Cordova,NA,India,No,Indian rupees (₹),Yes
NA,"Computer science, computer engineering, or software engineering",Fewer than 10 employees,Back-end developer,6-8 years,Erlang;JavaScript;Python;Ruby;Rust;SQL;HTML;CSS;Bash/Shell,MongoDB;Redis;PostgreSQL;SQLite;Elasticsearch,AWS;Heroku;Linux,Django;Node.js;React;TensorFlow,25 - 34 years old,"Iran, Islamic Republic of...",No,NA,Yes
NA,"Information systems, information technology, or system administration","1,000 to 4,999 employees",Mobile developer,3-5 years,NA,NA,NA,NA,NA,India,No,NA,No
112000,"Another engineering discipline (ex. civil, electrical, mechanical)","1,000 to 4,999 employees",Back-end developer;QA or test developer,12-14 years,Python;Scala,PostgreSQL;Amazon RDS/Aurora,Windows Desktop or Server,NA,25 - 34 years old,United States,No,U.S. dollars ($),No
115000,NA,"10,000 or more employees",Full-stack developer,9-11 years,C#;JavaScript;SQL;HTML;CSS,Redis;SQL Server,NA,NA,35 - 44 years old,United States,No,U.S. dollars ($),No
65000,"Information systems, information technology, or system administration",Fewer than 10 employees,Back-end developer;Desktop or enterprise applications developer;Full-stack developer,12-14 years,C#;JavaScript;SQL;TypeScript;VB.NET;HTML;CSS,SQL Server;MySQL,AWS;WordPress,NA,35 - 44 years old,Canada,No,Canadian dollars (C$),No
90000,"Computer science, computer engineering, or software engineering",Fewer than 10 employees,Front-end developer;Game or graphics developer;Mobile developer,9-11 years,C#;JavaScript;HTML;CSS,Amazon DynamoDB,AWS;Serverless,NA,25 - 34 years old,United States,No,U.S. dollars ($),No
1500,NA,"1,000 to 4,999 employees",Full-stack developer;Student,0-2 years,C;Java;JavaScript;TypeScript;HTML;CSS,Redis;Oracle,Mac OS,Angular;Node.js;Spring;TensorFlow,18 - 24 years old,Brazil,"Yes, part-time",Brazilian reais (R$),Yes
NA,"Computer science, computer engineering, or software engineering","10,000 or more employees",Back-end developer;Designer;DevOps specialist;Front-end developer;Full-stack developer;QA or test developer,6-8 years,Java,PostgreSQL;Oracle;IBM Db2,NA,Spring,NA,India,No,NA,No
NA,"Computer science, computer engineering, or software engineering",20 to 99 employees,Mobile developer,0-2 years,NA,NA,NA,NA,NA,India,"Yes, full-time",NA,No
60000,"A social science (ex. anthropology, psychology, political science)",20 to 99 employees,Data or business analyst;Product manager;System administrator,6-8 years,Groovy;JavaScript;PHP;Python;R;SQL;HTML;CSS;Bash/Shell,SQL Server;PostgreSQL,NA,Node.js,25 - 34 years old,United States,No,U.S. dollars ($),Yes
61800,"Computer science, computer engineering, or software engineering","1,000 to 4,999 employees",Back-end developer;Data scientist or machine learning specialist,3-5 years,Assembly;C;C++;Java;Matlab;Objective-C;Python;R;Swift,MongoDB;MySQL;PostgreSQL;Neo4j,iOS;Linux;Mac OS,NA,18 - 24 years old,Turkey,No,NA,No
NA,"Computer science, computer engineering, or software engineering",10 to 19 employees,Back-end developer;Mobile developer,18-20 years,C;C++;JavaScript;Objective-C;Swift;HTML;CSS;Bash/Shell,MongoDB;PostgreSQL,Arduino;iOS;Linux;Mac OS,NA,NA,Russian Federation,"Yes, full-time",NA,Yes
4000,"Computer science, computer engineering, or software engineering",100 to 499 employees,Back-end developer;DevOps specialist;Front-end developer;Full-stack developer;QA or test developer;System administrator,9-11 years,Java;JavaScript;Perl;PHP;Python;HTML;CSS;Bash/Shell,MySQL,Raspberry Pi,Angular,25 - 34 years old,Finland,No,Euros (€),Yes
NA,Mathematics or statistics,"1,000 to 4,999 employees",Data scientist or machine learning specialist,9-11 years,NA,NA,NA,NA,NA,Israel,No,NA,No
70000,"Computer science, computer engineering, or software engineering",20 to 99 employees,Full-stack developer,21-23 years,JavaScript;PHP;SQL;HTML;CSS,Redis;MySQL;MariaDB,AWS;Google Cloud Platform/App Engine;Linux;Mac OS;Raspberry Pi,NA,25 - 34 years old,United States,No,U.S. dollars ($),Yes
800,"A social science (ex. anthropology, psychology, political science)",20 to 99 employees,QA or test developer;Student,0-2 years,JavaScript;PHP;SQL;HTML;CSS,MongoDB;MySQL,Heroku;Linux;Windows Desktop or Server;WordPress;Firebase,Angular;Node.js;React,25 - 34 years old,Bosnia and Herzegovina,No,Euros (€),Yes
33000,"A humanities discipline (ex. literature, history, philosophy)",500 to 999 employees,Back-end developer,0-2 years,Assembly;Groovy;Java;JavaScript;Python;R;SQL;HTML;CSS;Bash/Shell,PostgreSQL;SQLite,Linux;Mac OS;Raspberry Pi;WordPress,Django,25 - 34 years old,United Kingdom,No,British pounds sterling (£),No
32400,"Computer science, computer engineering, or software engineering",500 to 999 employees,Back-end developer;DevOps specialist;Student,6-8 years,Go;JavaScript;Python;SQL;Bash/Shell,MySQL;Apache HBase,Linux,Node.js;React,18 - 24 years old,Ireland,"Yes, full-time",Euros (€),Yes
36000,"Computer science, computer engineering, or software engineering",Fewer than 10 employees,Back-end developer;Full-stack developer;Mobile developer;Student,15-17 years,C;JavaScript;PHP;Python;SQL;Swift;HTML;CSS;Bash/Shell,MySQL;MariaDB,Android;iOS;Linux;WordPress,Node.js;Xamarin,25 - 34 years old,United States,"Yes, part-time",U.S. dollars ($),No
900000,"Computer science, computer engineering, or software engineering",100 to 499 employees,Back-end developer;Desktop or enterprise applications developer;Full-stack developer,3-5 years,C#,SQL Server;Elasticsearch,Windows Desktop or Server,.NET Core;React,25 - 34 years old,India,"Yes, full-time",Indian rupees (₹),No
50000,"Fine arts or performing arts (ex. graphic design, music, studio art)",500 to 999 employees,Designer;Front-end developer,9-11 years,CoffeeScript;JavaScript;HTML;CSS,NA,iOS;WordPress,React,35 - 44 years old,Mexico,No,U.S. dollars ($),Yes
68000,NA,500 to 999 employees,Embedded applications or devices developer,15-17 years,C;Python;Bash/Shell,NA,Linux,NA,25 - 34 years old,Germany,No,Euros (€),No
NA,Web development or web design,20 to 99 employees,Back-end developer;Front-end developer;Full-stack developer;Mobile developer,6-8 years,NA,NA,NA,NA,NA,Italy,"Yes, full-time",NA,No
87000,"Another engineering discipline (ex. civil, electrical, mechanical)","1,000 to 4,999 employees",NA,9-11 years,C;Groovy;Java;Python,NA,Linux,NA,25 - 34 years old,United States,No,U.S. dollars ($),Yes
NA,"Computer science, computer engineering, or software engineering",10 to 19 employees,Back-end developer;Full-stack developer,9-11 years,JavaScript;PHP;HTML;CSS,Redis;PostgreSQL,AWS;Mac OS,React,NA,India,No,NA,No
98000,"A business discipline (ex. accounting, finance, marketing)","10,000 or more employees",Back-end developer;Front-end developer,15-17 years,Java;JavaScript;HTML;CSS,NA,NA,Node.js;Spring,35 - 44 years old,Canada,No,Canadian dollars (C$),Yes
60000,"Computer science, computer engineering, or software engineering",Fewer than 10 employees,Data or business analyst;Data scientist or machine learning specialist;Database administrator;Desktop or enterprise applications developer;DevOps specialist;Full-stack developer;System administrator,15-17 years,NA,NA,NA,NA,NA,Germany,No,Euros (€),Yes
101000,"Computer science, computer engineering, or software engineering",500 to 999 employees,Back-end developer;Engineering manager,21-23 years,Ruby;SQL,Redis;MySQL,Linux,NA,35 - 44 years old,France,No,Euros (€),Yes
